SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
2299580,1067.99,1055.14,1065.84,1055.63,12089930,22012480
2297090,1061.47,1050.22,1053.85,1061.09,12045670,22276180
2327646,1079.37,1061.96,1061.96,1079.32,15703160,27729760
2342015,1089.37,1076.2,1080.86,1089.37,17525220,31148750
2356673,1100.56,1089.55,1091.17,1099.97,18539580,32936910
2357458,1109.68,1097.32,1102.54,1103.24,19687810,36167040
2355228,1105.1,1091.89,1102.94,1103.15,17760100,32570850
2380060,1118.08,1100.69,1104.32,1117.91,17246460,32067520
2388598,1126.09,1112.01,1120.16,1123.31,19796700,35607520
2377729,1123.78,1116.15,1123.78,1117.07,15991140,30333840
2335955,1122.39,1093.51,1116.84,1093.92,17190080,33824140
2383003,1118.66,1091.67,1091.69,1118.61,16782530,33527950
2413888,1129.15,1114.53,1120.19,1124.41,18349150,35704540
2426798,1135.45,1119.27,1127.51,1131.28,17403460,32317220
2435889,1140.41,1125.2,1135.61,1138.24,19364960,34322900
2416726,1142.54,1127.09,1139.64,1134.38,21561230,37885650
2446454,1152.89,1127.65,1133.2,1149.16,22750690,40772900
2411753,1160.58,1135.75,1156.91,1142.7,26245890,45936210
2393607,1149.54,1123.1,1139.49,1141.93,22885230,38611120
2420717,1162.02,1142.07,1142.9,1155.73,25476160,41824290
2417357,1159.9,1145.26,1157.38,1155.27,18862510,31980450
2455956,1173.88,1133.19,1143.59,1172.35,24343010,40801860
2455956,,,,1172.35,,
2455956,,,,1172.35,,
2455956,,,,1172.35,,
2455956,,,,1172.35,,
2455956,,,,1172.35,,
2559516,1218.86,1179.58,1179.58,1218.44,26536300,44912820
2616892,1252.76,1222.68,1226.31,1251.61,33111900,55993860
2637783,1273.68,1243.47,1257.98,1265.93,33568260,55667040
2613278,1294.87,1254.35,1267.22,1255.03,37299600,61133710
2714381,1296.38,1252.68,1255.23,1296.26,34261840,54920320
2820415,1352.41,1301.8,1312.14,1352.15,45768180,73534000
2746198,1387.4,1322.14,1368.13,1331.13,50916380,79658160
2757619,1356.13,1306.87,1331.69,1335.52,39133820,61823280
2737817,1340.52,1301.11,1322.65,1331.2,31832850,52056350
2842959,1371.22,1329.32,1334.07,1366.1,36222350,67123860
2833911,1387.57,1360.35,1366.32,1373.67,38198860,66262160
2745890,1365.1,1316.55,1365.1,1317.65,32747740,56872380
2729104,1351.31,1277.33,1325.68,1308.24,31096800,51176620
2668930,1316.47,1285.73,1304.69,1307.7,20482540,34046430
2705455,1331.45,1309.46,1312.24,1331.02,21741980,36385660
2764553,1366.84,1330.63,1339.9,1366.29,27100620,44480000
2771311,1384.68,1360.55,1375.3,1378.76,28992420,44761020
2738717,1386.94,1355.01,1377.45,1365.45,29359680,47335870
2802448,1403.26,1362.94,1364.18,1402.88,31383490,53493440
2766718,1411.78,1382,1406.62,1390.12,37407310,64109150
2787182,1403.3,1362.72,1391.46,1403.16,29784740,55101810
2778651,1413.11,1391.89,1400.27,1399.14,26497840,46835260
2634994,1398.18,1319.7,1398.18,1320.23,31076290,52047630
2641051,1331.88,1286.9,1309.07,1325.98,26462580,45677500
2575859,1329.83,1293.05,1320.81,1294.18,21631040,37392610
2579041,1308.12,1275.4,1283.83,1297.67,15025360,25033330
2565454,1312.13,1284.62,1296.41,1298.28,16716170,27823020
2529388,1291.69,1269.52,1291.69,1283.88,15982330,28801650
2530948,1300.11,1280.5,1283.72,1285.38,12947890,23241300
2603492,1318.02,1290,1290,1318.01,16152370,28408030
2623541,1341.99,1294.9,1306.26,1334.89,18672640,30726260
2627357,1341.24,1323.78,1333.62,1338.22,16416710,27797060
2637231,1347,1320.41,1336.84,1333.53,18271580,32445470
2628495,1341.73,1326.15,1331.93,1331.55,14642390,25953150
2645567,1340.27,1319.51,1329.11,1339.45,15125540,25651630
2694782,1363.57,1341.61,1341.61,1363.41,18564750,29595920
2707938,1368.41,1354.09,1365.04,1363.9,16022200,26454720
2703798,1366.34,1353.63,1361.79,1362.88,14836160,25791650
2760970,1395.24,1365.25,1365.25,1395.12,24225650,42439200
