Name,MARKET VALUE,PRICE HIGH,PRICE LOW,PRICE OPEN,PRICE INDEX,TURNOVER BY VALUE,VOLUME
5/2/2012,15632450,2697.95,2643.53,2660.67,2683.49,92366080,80148640
5/3/2012,15649510,2693.88,2675.81,2679.52,2691.52,72337330,59361090
5/4/2012,15739900,2716.03,2677.14,2689.62,2715.88,73699540,63218080
5/7/2012,15739850,2717.78,2694.32,2699.45,2717.78,82715660,68547310
5/8/2012,15699400,2717.82,2683.56,2717.41,2709.12,73744500,63110830
5/9/2012,15422340,2685.19,2655.32,2685.19,2657.51,69482580,58400270
5/10/2012,15425860,2667.67,2649.38,2657.87,2657.21,54056940,46962580
5/11/2012,15318130,2666.57,2636.52,2652.31,2636.92,49392900,41006130
5/14/2012,15204200,2656.28,2613.35,2653.81,2615.53,60331280,52082480
5/15/2012,15177930,2618.17,2591.6,2597.64,2617.37,51374750,45767260
5/16/2012,14971700,2612.63,2574.08,2610.16,2574.65,47863540,43280270
5/17/2012,15176850,2619.59,2571.2,2577.96,2613.94,49203900,43728380
5/18/2012,14954410,2603.19,2567.3,2595.55,2573.98,46907500,43422110
5/21/2012,15015480,2604.22,2563.97,2572.37,2587.23,44300400,38602080
5/22/2012,15180900,2627.6,2597.6,2598.17,2627.52,49392400,42773520
5/23/2012,15118030,2635.78,2598.29,2621.79,2616.87,52563390,43719520
5/24/2012,15026410,2630.41,2588.21,2613.09,2595.26,50064430,42844060
5/25/2012,14922980,2602.17,2565.65,2595.26,2573.1,41420080,39272990
5/28/2012,15114710,2614.85,2545.34,2562.6,2614.69,58412340,56339260
5/29/2012,15284480,2658.25,2612.56,2615.14,2650.85,78681500,72135630
5/30/2012,15239220,2655.16,2636.52,2646.37,2642.26,56976270,51855420
5/31/2012,15159950,2645.59,2617.23,2623.16,2632.04,49875040,44107460
6/1/2012,15171570,2653.86,2623.29,2633.6,2633,53843390,44191060
6/4/2012,14783720,2608.32,2558.92,2598.73,2559.03,60615570,52478500
6/5/2012,14797990,2573.89,2548.76,2565.19,2558.84,43553300,37779900
6/6/2012,14790080,2573.74,2547.33,2564.23,2557.4,41316900,33857680
6/7/2012,14682890,2584.04,2536.26,2579.42,2542.18,42052990,34841180
6/8/2012,14603610,2559.13,2520.41,2558.84,2524.33,47638000,43856420
6/11/2012,14757580,2565.43,2523.77,2529.6,2558.26,43449650,40098260
6/12/2012,14656210,2553.91,2529.95,2543.76,2540.18,40259900,37936670
6/13/2012,14822940,2581.11,2539.63,2546.79,2580.64,51291260,45014560
6/14/2012,14673150,2584.71,2558.56,2573.33,2560.42,46331810,40247920
6/15/2012,14740480,2580.17,2538.57,2565.19,2568.05,48868290,42786060
6/18/2012,14796770,2593.22,2572.99,2576.63,2581.21,40852450,35693620
6/19/2012,14687510,2577.36,2556.1,2577.36,2558.62,37020030,32700540
6/20/2012,14645550,2570.66,2549.44,2563.64,2552.61,33573660,29850620
6/21/2012,14438190,2547.05,2502.42,2547.05,2512.18,38607950,35396720
6/22/2012,14438190,,,,2512.18,,
6/25/2012,14198520,2501.16,2455.01,2501.16,2456.52,42503500,40106720
6/26/2012,14189030,2465.12,2434.64,2442.56,2454.91,33896500,31734000
6/27/2012,14162830,2470.76,2444.34,2452.67,2447.19,31437580,30007550
6/28/2012,14057570,2459.19,2425.24,2451.66,2425.73,34418780,30543100
6/29/2012,14241480,2462.81,2417.49,2418.86,2461.61,40976530,37994930
7/2/2012,14546840,2473.97,2452.99,2473.54,2465.24,45651470,40510060
7/3/2012,14571300,2490.55,2457.45,2464.85,2468.72,45004640,38693340
7/4/2012,14555190,2481.34,2455.99,2474.53,2464.92,37837650,34452130
7/5/2012,14406020,2450.3,2420,2450.3,2430.37,35946190,34726140
7/6/2012,14573390,2477.23,2420.36,2435.06,2472.61,56601780,49610590
7/9/2012,14242600,2470.2,2414.95,2455.89,2416.04,54601730,49223300
7/10/2012,14215330,2426.53,2402.37,2411,2406.71,38539020,35549980
7/11/2012,14292330,2427.79,2402.15,2402.18,2425.57,39851890,37624300
7/12/2012,14373670,2460.56,2404.58,2420.04,2449.18,65137540,56717680
7/13/2012,14387840,2467.99,2438.98,2441.01,2450.63,42013570,36725250
7/16/2012,14174450,2452.59,2399.61,2452.59,2399.73,45844880,42771860
7/17/2012,14249520,2421.93,2391.28,2391.9,2414.2,38285440,33424320
7/18/2012,14271230,2420.78,2373.65,2412.06,2414.33,44325490,41751780
7/19/2012,14341880,2444.06,2401.29,2407.44,2424.32,47704030,46949040
7/20/2012,14213230,2423.8,2392.18,2415.71,2398.45,36683620,37619740
7/23/2012,14027600,2379.88,2357.51,2379.88,2365.43,33178930,32390370
7/24/2012,14066440,2392.35,2352.8,2353.22,2375.99,31149100,30310060
7/25/2012,14001580,2381.04,2357.47,2368.38,2360.08,25730590,24896500
7/26/2012,13938790,2374.87,2344.69,2360.13,2347.49,31326380,31314080
7/27/2012,13965520,2364.98,2341.29,2353.94,2349.11,33048180,31090510
7/30/2012,13916900,2367.03,2334,2350.78,2335.79,29907970,30484850
7/31/2012,13916870,2350.07,2329.5,2336.88,2332.92,31196320,32099710
8/1/2012,14038850,2371.12,2331.95,2332.13,2358.65,31277760,31420850
8/2/2012,13937060,2358.56,2325.61,2354.07,2334.88,29751150,31516140
8/3/2012,14056040,2354.16,2329.93,2340.25,2353.74,31106940,29769780
8/6/2012,14185710,2388.36,2348.12,2350.12,2385.61,43686670,41820660
8/7/2012,14186730,2390.78,2379.45,2383.26,2388.87,40403700,38285490
8/8/2012,14212510,2405.18,2382.82,2390.96,2389.79,41340850,37810450
8/9/2012,14305360,2412.14,2378.85,2388.43,2411.7,43256100,35658940
8/10/2012,14253270,2413.42,2395.91,2409.94,2399.75,40699220,34702990
8/13/2012,14045860,2394.5,2350.81,2394.5,2351.93,46249660,44783540
8/14/2012,14069830,2357.85,2324.91,2352.66,2357.02,42404670,39850060
8/15/2012,13938440,2350.02,2330.15,2350.02,2331.61,30332540,30580180
8/16/2012,13888780,2335.4,2317.06,2327.91,2319.67,27076000,25902900
8/17/2012,13875020,2322.88,2295.16,2318.43,2313.48,28629950,26065710
8/20/2012,13813650,2307.41,2279.95,2294.9,2301.79,27174820,27402030
8/21/2012,13864070,2327.38,2296.55,2301.93,2313.7,34757860,34895090
8/22/2012,13784980,2317.37,2285.75,2315.14,2295.59,31547500,31708400
8/23/2012,13799150,2311.65,2285.37,2298.18,2302.2,33789600,31335330
8/24/2012,13673020,2299.3,2274.57,2295.68,2275.68,32986340,31869580
8/27/2012,13467860,2268.48,2228.15,2268.48,2228.2,35384140,37386180
8/28/2012,13567850,2250.6,2222,2226.9,2238.41,30331070,33773600
8/29/2012,13426830,2240.11,2214.43,2230.2,2214.81,27396180,29010640
8/30/2012,13436400,2223.19,2188.72,2204.51,2211.37,33867200,35491310
8/31/2012,13394710,2218.87,2203.12,2205.57,2204.87,23340880,25964980
9/3/2012,13473870,2236.56,2197.71,2201.12,2228.37,35299170,38548590
9/4/2012,13363880,2234.88,2199.51,2231.72,2204.41,33220190,34852690
9/5/2012,13310230,2209.54,2186.96,2199.74,2199.88,30445170,34751820
9/6/2012,13393040,2218.68,2199.86,2204.44,2217.82,26873310,31695870
9/7/2012,13920740,2341.52,2233.91,2233.91,2317.18,84302240,94529760
9/10/2012,13962510,2334.5,2313.57,2320.56,2326.67,63252030,65330540
9/11/2012,13868070,2316.53,2294.82,2316.53,2311.89,43389760,46260700
9/12/2012,13895310,2337.2,2298.3,2325.92,2320.07,46485170,49622510
9/13/2012,13797110,2325.53,2298.37,2316.68,2298.46,38023980,42049840
9/14/2012,13897830,2332.42,2298.83,2324.01,2315.54,55438610,61571810
9/17/2012,13612720,2314.99,2258.18,2312.05,2258.7,43753170,48984720
9/18/2012,13468790,2253.14,2228.04,2249.42,2235.24,30171490,33228690
9/19/2012,13511170,2249.24,2229.49,2237.22,2246.24,32607010,34349700
9/20/2012,13247440,2236.19,2194.22,2236.19,2195.95,38385860,42545780
9/21/2012,13270450,2217.47,2186.53,2190.33,2199.06,34043360,38120590
9/24/2012,13321610,2225.8,2172.88,2183.97,2215.52,33608750,37501680
9/25/2012,13313030,2225.33,2202.38,2209.97,2210.15,26677060,27877010
9/26/2012,13169010,2216.82,2181.08,2208.91,2184.89,24918910,27454620
9/27/2012,13540340,2266.3,2185.77,2186,2251.72,48210580,53016900
9/28/2012,13746410,2297.03,2234.32,2235.06,2293.11,54431460,57875820
10/1/2012,13746410,,,,2293.11,,
10/2/2012,13746410,,,,2293.11,,
10/3/2012,13746410,,,,2293.11,,
10/4/2012,13746410,,,,2293.11,,
10/5/2012,13746410,,,,2293.11,,
10/8/2012,13642230,2305.18,2258.11,2291.96,2270.05,33915840,35534420
10/9/2012,13905550,2327.73,2281.75,2281.75,2320.16,48330190,52548880
10/10/2012,13923210,2325.75,2304.61,2314.59,2324.12,37873980,42686220
10/11/2012,13820310,2321.35,2300.93,2315.9,2302.53,36172960,41300640
10/12/2012,13837460,2332.15,2287.01,2311.28,2304.53,33205890,36874140
10/15/2012,13798950,2307.88,2278.46,2306.01,2294.86,28569010,28651740
10/16/2012,13796200,2315.45,2287.59,2293.24,2298.16,32705140,32059660
10/17/2012,13833600,2312.17,2280.82,2307.36,2300.8,31270900,33349410
10/18/2012,14006160,2341.12,2305.88,2307.49,2336.08,45050290,50615090
